Date,Сalories (kсal),Distance (m),Height (m),Min. latitude (deg.),Min. longitude (deg.),Max. latitude (deg.),Max. longitude (deg.),Average Speed (m/s),Max. Speed (m/s),Min. Speed (m/s),Number of Steps,Average weight (kg),Max. weight (kg),Min. weight (kg),Active Minutes,Heart Beats,Duration: Rest (ms),Duration: Walking (ms),Duration: Running (ms),Duration: Calisthenics (ms),Duration: Gymnastics (ms),Duration: Pilates (ms),Duration: Sleeping (ms),Duration: Swimming (ms)
2019-10-07,1843.4322361822403,5728.818151116371,,31.7802738,35.2135757,31.8250105,35.2446377,1.2889415682524705,3.1995413303375244,0.2932339310646057,11910,62.29999923706055,62.29999923706055,62.29999923706055,151,,58384594,5951293,,274000,,900000,16200000,
2019-10-08,1748.7265387126063,6097.707658588886,,31.8175282,35.2393957,31.821908,35.2493062,1.2058627756448184,11.512632369995117,0.08445236831903458,10751,,,,112,,61859706,7129391,,,,,12600000,
2019-10-09,1741.3977202042188,881.7937422990799,,31.8192322,35.2439338,31.8215418,35.2459367,0.6070416678723157,1.1404749155044556,0.32697364687919617,1780,,,,100,,71633513,1446487,,1260000,,1260000,10800000,
2019-10-10,1644.8289408208802,4721.634672760963,,31.7808129,35.2127221,31.8214699,35.2448203,0.8540209825474616,7.768842697143555,0.2635161876678467,8066,62.400001525878906,62.400001525878906,62.400001525878906,88,,52468045,5026771,,,,,27000000,
2019-10-11,1933.325429558754,6313.441868901253,,31.8156208,35.239657,31.8257032,35.2502655,0.9532486891497688,2.144592761993408,0.26973703503608704,10452,,,,136,,50516233,7000889,,,,,25200000,1800000
2019-10-12,1443.1550155026468,692.2377345561981,,,,,,0.7294030092473053,1.6235196590423584,0.3317407965660095,1274,61.400001525878906,61.900001525878906,60.900001525878906,15,,63732015,976707,,,,,21600000,
2019-10-13,1417.2111208307356,287.82216787338257,,,,,,0.6414369195298973,1.2721620798110962,0.3027871549129486,1645,62.20000076293945,62.20000076293945,62.20000076293945,19,,84966798,501952,,,,,,
2019-10-14,1664.5510711576553,2828.6872987747192,,31.819217,35.2398876,31.8250154,35.2460403,0.7671786909825415,1.3702647686004639,0.3923131227493286,5571,,,,96,,68914415,3489127,,2205000,,,10800000,
2019-10-15,1876.811061233282,3455.921620629728,,31.821487,35.2391526,31.8252204,35.2439517,0.7686514946976587,1.4939353466033936,0.2285851687192917,5536,,,,127,,44331822,4100918,,2054000,,,32400000,1800000
2019-10-16,1648.1702504456043,3449.4864540100098,,31.7424518,35.168727,31.8218323,35.2422426,1.2455463817543684,15.600000381469727,0.07860026508569717,8725,61.900001525878906,61.900001525878906,61.900001525878906,108,,46437667,5138069,,,,,27000000,
